,user_id,amount_to_pay_next_payment,account_opening_date,account_closing_date,maximum_credit_amount,current_balance,credit_limit,past_due_balance,number_of_payments_due,worst_delinquency,worst_delinquency_date,worst_delinquency_past_due_balance,institution_cat,account_type_cat,credit_type_cat,payment_frequency_cat
15,0,0.0,2015-06-03,2015-10-27,25000.0,0.0,0.0,0.0,0.0,0.0,,0.0,36,4,19,4
34,4,0.0,2012-05-28,2016-06-22,16469.0,0.0,0.0,6852.0,0.0,0.0,,0.0,5,6,25,4
35,4,0.0,2012-05-28,2016-01-31,8725.0,0.0,12500.0,0.0,0.0,0.0,,0.0,5,6,25,4
36,4,0.0,2012-05-01,2015-06-10,37543.0,0.0,30000.0,11634.0,0.0,0.0,,0.0,5,6,25,4
37,4,0.0,2012-09-01,2014-10-27,0.0,0.0,48000.0,0.0,0.0,0.0,,0.0,5,6,25,4
38,4,0.0,2012-05-28,2014-09-30,8084.0,0.0,12500.0,0.0,0.0,0.0,,0.0,5,6,25,4
39,4,0.0,2012-05-01,2013-06-30,19275.0,0.0,1.0,0.0,0.0,0.0,,0.0,5,6,25,4
57,6,0.0,2013-07-05,2017-06-30,784.0,0.0,1197.0,0.0,0.0,0.0,,0.0,47,6,14,4
58,6,0.0,2014-12-10,,19544.0,5366.0,0.0,0.0,0.0,0.0,,0.0,10,7,25,4
59,6,0.0,2014-05-08,,47497.0,37429.0,39000.0,0.0,0.0,0.0,,0.0,5,6,25,4
60,6,0.0,2014-08-29,,19420.0,10217.0,18300.0,0.0,0.0,0.0,,0.0,5,6,25,4
61,6,2157.0,2014-05-06,,33695.0,32809.0,31000.0,0.0,0.0,0.0,,0.0,5,6,25,4
62,6,199.0,2016-01-13,,2769.0,0.0,10000.0,0.0,0.0,0.0,,0.0,16,7,14,4
63,6,1960.0,2016-04-22,,25000.0,24661.0,25000.0,0.0,0.0,0.0,,0.0,5,6,25,4
64,6,298.0,2015-09-23,,9651.0,299.0,0.0,298.0,0.0,0.0,,0.0,4,4,2,4
65,6,17074.0,2015-09-23,,628448.0,15202.0,0.0,15201.0,0.0,0.0,,0.0,4,4,2,4
66,6,0.0,2015-09-25,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,39,7,16,4
67,6,0.0,2015-02-09,,69584.0,73986.0,72000.0,0.0,0.0,0.0,,0.0,5,6,25,4
68,6,0.0,2009-11-01,,12593.0,11378.0,12000.0,0.0,0.0,0.0,,0.0,5,6,25,4
69,6,0.0,2014-09-01,2016-10-17,40928.0,0.0,40928.0,0.0,0.0,0.0,,0.0,5,4,19,4
70,6,0.0,2009-11-03,2015-11-30,13493.0,0.0,10000.0,0.0,0.0,0.0,,0.0,16,7,14,4
71,6,0.0,2004-03-07,2012-04-30,10831.0,0.0,12800.0,0.0,0.0,0.0,,0.0,11,6,25,4
72,6,0.0,2008-07-26,2011-12-29,16304.0,0.0,14000.0,0.0,0.0,0.0,,0.0,49,6,14,4
126,12,0.0,2016-01-22,2016-07-07,15000.0,0.0,15000.0,0.0,1.0,1.0,2016-03-07,110.0,43,4,18,2
127,12,0.0,2016-07-07,2016-12-09,19000.0,0.0,15000.0,0.0,0.0,0.0,,0.0,43,4,18,2
128,12,0.0,2016-12-09,2017-07-21,19000.0,0.0,19000.0,0.0,0.0,0.0,,0.0,43,4,18,2
129,12,0.0,2016-12-28,,1045.0,0.0,1647.0,0.0,0.0,0.0,,0.0,16,6,14,4
130,12,0.0,2017-03-30,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,38,7,16,4
131,12,0.0,2017-03-23,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,48,7,14,4
132,12,138.0,2016-12-19,,5000.0,1328.0,5000.0,0.0,0.0,0.0,,0.0,5,6,25,4
133,12,0.0,2016-11-23,2017-11-24,16740.0,0.0,16740.0,0.0,0.0,0.0,,0.0,21,4,19,7
134,12,0.0,2015-12-09,2016-03-18,349.0,0.0,100.0,0.0,6.0,0.0,,0.0,16,6,14,4
307,24,0.0,2005-02-19,,1700.0,0.0,0.0,0.0,0.0,13.0,2007-02-28,1700.0,38,7,14,4
308,24,0.0,2005-11-02,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,38,7,16,4
309,24,1863.0,2016-12-05,,26249.0,10920.0,19170.0,0.0,0.0,0.0,,0.0,40,6,9,4
310,24,0.0,2012-08-24,2017-08-16,175159.0,0.0,150000.0,0.0,0.0,0.0,,0.0,5,6,23,4
311,24,0.0,2011-02-22,2016-02-17,150000.0,0.0,150000.0,0.0,4.0,0.0,,0.0,5,6,23,4
312,24,0.0,2005-02-19,,1700.0,0.0,0.0,0.0,0.0,0.0,,0.0,39,7,16,4
313,24,0.0,2012-05-02,2015-03-17,45386.0,0.0,36500.0,31770.0,1.0,0.0,,0.0,5,6,25,4
314,24,0.0,2012-08-24,2015-01-31,59900.0,0.0,10000.0,0.0,5.0,0.0,,0.0,5,6,23,4
315,24,0.0,2010-10-13,2015-10-16,50000.0,0.0,50000.0,0.0,0.0,0.0,,0.0,5,6,23,4
316,24,0.0,2004-04-01,2015-06-30,28404.0,0.0,34000.0,0.0,3.0,0.0,,0.0,5,6,25,4
317,24,0.0,2013-08-01,2015-04-10,76382.0,0.0,1.0,40468.0,9.0,0.0,,0.0,5,6,25,4
318,24,0.0,2007-05-23,2015-04-16,67227.0,0.0,1.0,50227.0,10.0,0.0,,0.0,5,6,25,4
319,24,0.0,2012-07-20,2015-03-17,1395.0,0.0,0.0,0.0,14.0,0.0,,0.0,10,7,25,4
320,24,0.0,2012-05-02,2015-07-14,45386.0,0.0,36500.0,0.0,8.0,0.0,,0.0,5,6,25,4
321,24,0.0,2012-12-17,2015-03-27,99539.0,0.0,40000.0,0.0,8.0,0.0,,0.0,5,6,25,4
322,24,0.0,2012-12-08,2015-02-28,1597.0,0.0,1300.0,0.0,15.0,0.0,,0.0,16,7,14,4
323,24,0.0,2004-07-09,2014-09-19,5466.0,0.0,3510.0,2717.0,6.0,0.0,,0.0,5,6,25,4
324,24,0.0,2013-04-02,2014-03-09,0.0,0.0,39000.0,0.0,0.0,0.0,,0.0,5,6,25,4
325,24,0.0,2012-12-17,2013-07-30,47051.0,0.0,94648.0,0.0,0.0,0.0,,0.0,5,6,25,4
326,24,0.0,2011-03-01,2013-07-31,28404.0,0.0,1.0,0.0,0.0,0.0,,0.0,5,6,25,4
327,24,0.0,2004-07-09,2013-07-30,5119.0,0.0,3990.0,0.0,0.0,0.0,,0.0,5,6,25,4
328,24,0.0,2009-02-24,2012-11-01,55371.0,0.0,41000.0,0.0,0.0,0.0,,0.0,5,6,25,4
329,24,0.0,2000-01-24,2012-10-31,50507.0,0.0,48000.0,0.0,0.0,0.0,,0.0,5,6,25,4
330,24,0.0,2011-06-01,2012-09-05,638.0,0.0,0.0,0.0,0.0,0.0,,0.0,10,7,25,4
331,24,0.0,2008-05-05,2012-08-24,5220.0,0.0,1810.0,0.0,0.0,0.0,,0.0,5,6,25,4
332,24,0.0,2000-01-24,2012-05-29,50507.0,0.0,1.0,0.0,0.0,0.0,,0.0,5,6,25,4
335,27,5248.0,2017-05-22,,100000.0,83667.0,0.0,0.0,0.0,0.0,,0.0,30,4,19,6
336,27,0.0,2008-04-11,2010-04-10,1300.0,0.0,2954.0,0.0,0.0,1.0,2008-12-31,649.0,47,6,14,4
337,27,0.0,2011-12-03,,0.0,0.0,21609.0,0.0,0.0,0.0,,0.0,52,6,14,4
338,27,0.0,2016-11-02,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,38,7,16,4
339,27,0.0,2017-03-14,,14690.0,3225.0,60000.0,0.0,0.0,0.0,,0.0,5,6,25,4
340,27,2666.0,2015-12-01,,82367.0,55556.0,82367.0,0.0,0.0,0.0,,0.0,5,4,19,4
341,27,1013.0,2001-04-02,,1973.0,0.0,10000.0,0.0,0.0,0.0,,0.0,16,7,14,4
342,27,0.0,2016-10-14,,14831.0,6768.0,15000.0,0.0,0.0,0.0,,0.0,5,6,25,4
343,27,1033.0,2004-11-30,,3366.0,0.0,10000.0,0.0,0.0,0.0,,0.0,16,7,14,4
344,27,1274.0,2004-11-16,,2368.0,0.0,10000.0,0.0,0.0,0.0,,0.0,16,7,14,4
345,27,1.0,2016-06-24,,670.0,1.0,740.0,0.0,0.0,0.0,,0.0,39,7,16,4
346,27,0.0,2015-05-25,2017-08-31,1071.0,0.0,0.0,0.0,0.0,0.0,,0.0,16,7,14,4
347,27,0.0,2016-10-14,2017-08-01,14831.0,0.0,15000.0,0.0,0.0,0.0,,0.0,5,6,25,4
348,27,0.0,2010-04-19,2016-10-31,1178.0,0.0,10000.0,0.0,0.0,0.0,,0.0,16,7,14,4
349,27,0.0,2005-10-08,2015-10-14,1574.0,0.0,0.0,0.0,0.0,0.0,,0.0,39,7,16,4
350,27,0.0,2004-08-01,2014-03-31,37614.0,0.0,1.0,0.0,0.0,0.0,,0.0,5,6,25,4
351,27,0.0,2010-08-12,2013-08-13,109943.0,0.0,0.0,0.0,0.0,0.0,,0.0,5,4,5,4
352,27,0.0,2008-09-15,2012-01-02,136952.0,0.0,1.0,0.0,0.0,0.0,,0.0,5,6,25,4
354,29,0.0,2008-08-06,,159.0,0.0,1.0,0.0,0.0,0.0,,0.0,49,6,25,4
355,29,173.0,2015-12-17,,6149.0,3609.0,25000.0,0.0,0.0,0.0,,0.0,5,6,25,4
356,29,0.0,2012-09-01,,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,5,6,25,4
365,31,0.0,2014-09-04,2017-03-14,254267.0,0.0,254267.0,0.0,12.0,2.0,2015-11-30,10276.0,3,4,5,4
366,31,0.0,2011-09-01,2015-03-28,0.0,0.0,17217.0,0.0,0.0,0.0,,0.0,52,6,14,4
367,31,0.0,2014-09-19,,695.0,0.0,1000.0,0.0,5.0,0.0,,0.0,16,6,14,4
368,31,0.0,2014-09-19,,957.0,0.0,1000.0,0.0,5.0,0.0,,0.0,16,6,14,4
369,31,0.0,2016-01-11,2017-01-31,400.0,0.0,0.0,0.0,0.0,0.0,,0.0,38,7,16,4
370,31,0.0,2015-02-04,,436.0,0.0,740.0,0.0,1.0,1.0,2017-08-31,445.0,38,7,14,4
371,31,0.0,2014-04-30,,9152.0,0.0,4000.0,0.0,2.0,0.0,,0.0,49,6,14,4
372,31,0.0,2016-01-19,,1865.0,0.0,0.0,0.0,0.0,0.0,,0.0,16,7,14,4
373,31,0.0,2014-09-01,2017-10-11,31000.0,0.0,31000.0,0.0,7.0,0.0,,0.0,5,4,23,6
374,31,0.0,2017-01-20,,105923.0,52104.0,135200.0,0.0,0.0,0.0,,0.0,5,6,25,4
375,31,0.0,2016-05-09,,41139.0,23475.0,41350.0,0.0,0.0,0.0,,0.0,5,6,25,4
376,31,0.0,2014-04-25,,2641.0,0.0,1.0,0.0,0.0,0.0,,0.0,49,6,25,4
377,31,0.0,2017-01-20,2017-01-24,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,5,6,25,4
378,31,0.0,2016-04-01,2016-08-30,9681.0,0.0,10000.0,0.0,0.0,0.0,,0.0,5,6,25,4
379,31,0.0,2013-12-27,2016-03-16,8542.0,0.0,0.0,0.0,22.0,0.0,,0.0,21,4,19,6
380,31,0.0,2014-05-15,2015-06-19,3193.0,0.0,0.0,0.0,2.0,0.0,,0.0,21,4,19,6
381,31,0.0,2014-05-15,2015-03-17,3193.0,0.0,0.0,0.0,8.0,0.0,,0.0,21,4,19,6
451,37,1309.0,2006-02-17,,2000.0,1309.0,0.0,0.0,0.0,1.0,2013-01-08,576.0,38,7,14,4
452,37,3140.0,2005-04-01,,35629.0,27876.0,25500.0,16680.0,0.0,0.0,,0.0,5,6,25,4
453,37,352.0,2013-03-05,,30261.0,19227.0,28170.0,0.0,0.0,0.0,,0.0,5,6,25,4
454,37,464.0,2010-03-16,,38785.0,32660.0,37150.0,0.0,0.0,0.0,,0.0,5,6,25,4
455,37,0.0,2007-03-09,,1798.0,0.0,20000.0,0.0,0.0,0.0,,0.0,16,7,14,4
456,37,2471.0,2005-08-01,,256089.0,318862.0,256089.0,0.0,0.0,0.0,,0.0,27,3,4,4
457,37,0.0,2014-04-11,2016-10-31,650.0,0.0,20000.0,0.0,0.0,0.0,,0.0,16,7,14,4
458,37,0.0,2010-03-16,2014-01-30,33632.0,0.0,37150.0,0.0,0.0,0.0,,0.0,5,6,25,4
459,37,0.0,2004-05-20,2012-06-05,25745.0,0.0,25500.0,0.0,0.0,0.0,,0.0,5,6,25,4
526,43,384.0,2012-10-04,,924.0,384.0,1000.0,384.0,7.0,1.0,2015-11-30,924.0,47,6,14,4
527,43,0.0,2012-10-08,,0.0,0.0,1000.0,0.0,0.0,0.0,,0.0,47,6,14,4
528,43,164.0,2012-11-01,,80365.0,14068.0,145000.0,0.0,0.0,0.0,,0.0,5,4,23,6
529,43,1733.0,2016-07-21,,38898.0,23096.0,50700.0,0.0,0.0,0.0,,0.0,5,6,25,4
530,43,0.0,2015-12-10,2017-02-02,60068.0,0.0,60000.0,0.0,0.0,0.0,,0.0,5,6,25,4
531,43,0.0,2014-09-12,2017-02-02,42076.0,0.0,40000.0,0.0,0.0,0.0,,0.0,5,6,25,4
532,43,0.0,2013-02-17,2015-09-13,0.0,0.0,23000.0,0.0,0.0,0.0,,0.0,49,6,14,4
533,43,0.0,2014-04-02,2015-07-06,702.0,0.0,24000.0,0.0,0.0,0.0,,0.0,5,6,25,4
534,43,0.0,2009-08-11,2014-09-01,26266.0,0.0,27500.0,0.0,0.0,0.0,,0.0,5,6,25,4
535,43,0.0,2014-04-02,2014-08-06,73700.0,0.0,0.0,0.0,0.0,0.0,,0.0,5,4,19,6
536,43,0.0,2009-08-11,2014-05-30,26266.0,0.0,27500.0,0.0,0.0,0.0,,0.0,5,6,25,4
537,43,0.0,2012-12-01,2013-03-20,696.0,0.0,21100.0,0.0,0.0,0.0,,0.0,5,6,25,4
538,43,0.0,2011-04-24,2012-11-30,1196.0,0.0,3900.0,0.0,0.0,0.0,,0.0,16,7,14,4
539,43,0.0,2009-11-05,2012-11-06,79464.0,0.0,79464.0,0.0,0.0,0.0,,0.0,5,4,5,4
540,43,0.0,2009-07-20,2011-11-30,2150.0,0.0,0.0,0.0,0.0,0.0,,0.0,16,7,14,4
834,47,15264.0,2007-02-01,,60798.0,48134.0,1.0,27865.0,0.0,0.0,,0.0,5,6,25,4
835,47,4394.0,2010-10-08,,1211.0,4394.0,0.0,4394.0,0.0,0.0,,0.0,16,7,14,4
836,47,9803.0,2009-10-01,,48776.0,38972.0,1.0,38972.0,0.0,0.0,,0.0,5,6,25,4
837,47,113565.0,2010-12-01,,153480.0,113565.0,153480.0,113565.0,0.0,0.0,,0.0,5,4,19,4
838,47,0.0,2016-12-02,,511.0,0.0,1053.0,0.0,0.0,0.0,,0.0,16,7,14,4
839,47,562.0,2016-05-23,,571.0,562.0,20000.0,0.0,0.0,0.0,,0.0,16,7,14,4
840,47,2269.0,2003-05-30,,166727.0,249929.0,166727.0,0.0,0.0,0.0,,0.0,27,3,4,4
841,47,0.0,2015-09-30,,621.0,0.0,752.0,0.0,0.0,0.0,,0.0,16,7,14,4
842,47,0.0,2015-04-30,,463.0,0.0,0.0,0.0,0.0,0.0,,0.0,16,7,14,4
843,47,0.0,2014-07-28,,831.0,0.0,0.0,0.0,0.0,0.0,,0.0,16,7,14,4
844,47,0.0,2014-04-01,,691.0,0.0,1200.0,0.0,0.0,0.0,,0.0,16,7,14,4
845,47,0.0,2011-01-12,,379.0,0.0,0.0,0.0,0.0,0.0,,0.0,16,7,14,4
846,47,0.0,2008-11-14,,811.0,0.0,10000.0,0.0,0.0,0.0,,0.0,16,7,14,4
847,47,0.0,2005-02-10,,2238.0,0.0,10000.0,0.0,0.0,0.0,,0.0,16,7,14,4
848,47,0.0,2007-02-01,2015-01-10,31144.0,0.0,30000.0,17964.0,0.0,0.0,,0.0,5,4,14,6
849,47,0.0,2013-08-28,2014-04-30,258.0,0.0,1000.0,0.0,0.0,0.0,,0.0,16,7,14,4
850,47,0.0,2004-06-22,2013-06-20,49006.0,0.0,1.0,42445.0,0.0,0.0,,0.0,5,6,25,4
851,47,0.0,2011-04-09,2011-05-08,0.0,0.0,20400.0,0.0,0.0,0.0,,0.0,49,4,0,4
852,48,84.0,2014-09-26,,165270.0,182593.0,165270.0,0.0,0.0,0.0,,0.0,39,3,13,4
853,48,0.0,2011-01-31,2012-12-20,9458.0,0.0,0.0,0.0,0.0,0.0,,0.0,24,4,19,4
854,48,0.0,2010-12-29,2012-12-20,7790.0,0.0,0.0,0.0,0.0,0.0,,0.0,24,4,19,4
855,48,0.0,2011-07-30,2012-12-20,4576.0,0.0,0.0,0.0,0.0,0.0,,0.0,24,4,19,4
856,48,0.0,2011-01-25,2012-12-20,3152.0,0.0,0.0,0.0,0.0,0.0,,0.0,24,4,19,4
857,48,0.0,2013-03-26,2013-04-06,11939.0,0.0,0.0,0.0,0.0,0.0,,0.0,24,4,19,4
858,48,0.0,2011-01-06,2012-12-20,1823.0,0.0,0.0,0.0,0.0,0.0,,0.0,24,4,19,4
859,48,0.0,2011-08-06,2012-12-20,610.0,0.0,0.0,0.0,0.0,0.0,,0.0,24,4,19,4
860,48,0.0,2012-12-26,2014-05-09,37311.0,0.0,0.0,0.0,0.0,0.0,,0.0,24,4,19,4
861,48,0.0,2011-07-13,2012-12-20,746.0,0.0,0.0,0.0,0.0,0.0,,0.0,24,4,19,4
862,48,0.0,2014-05-09,2015-07-31,8544.0,0.0,0.0,0.0,0.0,0.0,,0.0,24,4,19,4
863,48,0.0,2014-05-13,2015-03-02,70944.0,0.0,0.0,0.0,0.0,0.0,,0.0,24,4,19,4
864,48,0.0,2002-06-04,2015-07-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,38,7,16,4
865,48,691.0,2011-06-25,,1620.0,0.0,20000.0,0.0,1.0,0.0,,0.0,16,7,14,4
866,48,8998.0,2011-01-11,,9128.0,9128.0,1.0,8206.0,25.0,0.0,,0.0,49,6,14,4
867,48,0.0,2015-01-05,2017-10-19,70000.0,0.0,67765.0,67765.0,25.0,0.0,,0.0,21,4,19,4
868,48,2690.0,2014-03-25,,67400.0,34314.0,0.0,0.0,0.0,0.0,,0.0,5,4,23,6
869,48,2050.0,2013-04-03,,53400.0,10238.0,0.0,0.0,1.0,0.0,,0.0,5,4,23,6
870,48,833.0,2008-11-18,,3073.0,0.0,20000.0,0.0,12.0,0.0,,0.0,16,7,14,4
871,48,8150.0,2013-10-26,,12167.0,12167.0,1.0,7752.0,25.0,0.0,,0.0,49,6,14,4
872,48,0.0,2011-08-30,,41176.0,24256.0,36800.0,0.0,8.0,0.0,,0.0,5,6,25,4
873,48,3145.0,2016-12-07,,75480.0,44828.0,0.0,6284.0,1.0,0.0,,0.0,26,4,19,4
874,48,179.0,2015-11-11,,5363.0,1608.0,0.0,339.0,1.0,0.0,,0.0,26,4,19,4
875,48,0.0,2013-08-12,,1667.0,0.0,20000.0,0.0,0.0,0.0,,0.0,16,7,14,4
876,48,0.0,2011-06-21,,931.0,0.0,20000.0,0.0,0.0,0.0,,0.0,16,7,14,4
877,48,550.0,2017-06-27,,11205.0,11205.0,0.0,0.0,0.0,0.0,,0.0,26,4,19,4
878,48,126.0,2017-06-27,,2560.0,1806.0,0.0,0.0,0.0,0.0,,0.0,26,4,19,4
879,48,0.0,2004-05-04,2017-07-04,32665.0,0.0,31000.0,0.0,0.0,0.0,,0.0,49,6,14,4
880,48,0.0,2015-03-04,2017-06-27,20288.0,0.0,0.0,0.0,0.0,0.0,,0.0,26,4,19,4
881,48,0.0,2015-03-02,2016-10-31,54714.0,0.0,0.0,0.0,0.0,0.0,,0.0,26,4,19,4
882,48,0.0,2014-01-24,2015-09-24,40000.0,0.0,40000.0,0.0,7.0,0.0,,0.0,5,6,25,4
883,48,0.0,2012-01-20,2015-08-25,27362.0,0.0,1.0,20139.0,14.0,0.0,,0.0,5,6,25,4
884,48,0.0,2012-04-10,2015-05-15,46000.0,0.0,0.0,0.0,3.0,0.0,,0.0,5,4,19,6
885,48,0.0,2014-07-02,2015-01-05,50000.0,0.0,0.0,0.0,2.0,0.0,,0.0,21,4,19,4
886,48,0.0,2014-04-10,2014-11-14,9875.0,0.0,20000.0,0.0,0.0,0.0,,0.0,5,6,25,4
887,48,0.0,2014-01-18,2014-08-19,40000.0,0.0,40000.0,0.0,0.0,0.0,,0.0,21,4,19,4
888,48,0.0,2013-07-16,2014-02-28,29700.0,0.0,0.0,0.0,0.0,0.0,,0.0,21,4,19,4
889,48,0.0,2011-12-26,2013-02-28,585.0,0.0,5000.0,0.0,0.0,0.0,,0.0,16,7,14,4
890,48,0.0,2011-03-08,2012-04-10,46000.0,0.0,0.0,0.0,0.0,0.0,,0.0,5,4,19,4
891,49,2753.0,2017-11-20,,52950.0,52950.0,54050.0,0.0,0.0,0.0,,0.0,40,6,9,4
947,51,0.0,2016-09-18,,47688.0,55844.0,64000.0,0.0,0.0,0.0,,0.0,5,6,25,4
948,51,1863.0,2011-10-23,,26266.0,23383.0,68500.0,0.0,0.0,0.0,,0.0,49,6,14,4
949,51,320.0,2014-12-18,,762.0,320.0,20000.0,0.0,0.0,0.0,,0.0,16,7,14,4
950,51,871.0,2014-12-18,,1149.0,871.0,20000.0,0.0,0.0,0.0,,0.0,16,7,14,4
951,51,3798.0,2008-01-04,,53804.0,68450.0,70000.0,0.0,0.0,0.0,,0.0,5,6,25,4
969,54,738.0,2016-04-18,,6642.0,5166.0,0.0,0.0,0.0,0.0,,0.0,15,4,19,4
970,54,0.0,2003-11-29,,0.0,0.0,8400.0,0.0,0.0,0.0,,0.0,52,6,14,4
971,54,0.0,2010-07-15,,500.0,0.0,0.0,0.0,0.0,0.0,,0.0,6,7,14,6
972,54,0.0,2010-08-02,,900.0,0.0,0.0,0.0,0.0,0.0,,0.0,6,7,14,6
973,54,0.0,2010-08-13,,600.0,0.0,0.0,0.0,0.0,0.0,,0.0,6,7,14,6
974,54,0.0,2010-08-31,,700.0,0.0,0.0,0.0,0.0,0.0,,0.0,6,7,14,6
975,54,0.0,2010-09-15,,600.0,0.0,0.0,0.0,0.0,0.0,,0.0,5,7,14,4
976,54,0.0,2010-10-01,,800.0,0.0,0.0,0.0,1.0,1.0,2010-10-31,400.0,6,7,14,6
977,54,701.0,2013-07-16,,153308.0,183698.0,153308.0,0.0,0.0,0.0,2010-10-31,0.0,27,3,4,4
978,54,5817.0,2014-11-14,,17000.0,16702.0,18.0,0.0,0.0,0.0,2010-10-31,0.0,5,4,14,4
979,54,0.0,2014-11-14,,7877.0,0.0,18.0,0.0,0.0,0.0,2010-10-31,0.0,5,4,14,4
1089,64,10040.0,2017-03-28,,212765.0,211627.0,0.0,0.0,0.0,0.0,,0.0,5,4,19,4
1090,64,1989.0,2017-03-16,,134400.0,132329.0,0.0,0.0,0.0,0.0,,0.0,5,4,19,6
1091,64,0.0,2017-02-28,,6473.0,1189.0,0.0,0.0,0.0,0.0,,0.0,10,7,25,4
1092,64,0.0,2016-06-30,,51190.0,51927.0,52000.0,0.0,0.0,0.0,,0.0,5,6,25,4
1093,64,0.0,2016-06-20,,280.0,0.0,1.0,0.0,0.0,0.0,,0.0,16,7,14,4
1094,64,0.0,2011-05-20,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,39,7,16,4
1095,64,0.0,2017-04-19,,5377.0,5377.0,48700.0,0.0,0.0,0.0,,0.0,5,6,25,4
1096,64,0.0,2008-11-08,2016-06-30,6164.0,0.0,4050.0,0.0,0.0,0.0,,0.0,16,7,14,4
1097,64,0.0,2008-06-11,2011-07-08,23222.0,0.0,8700.0,0.0,0.0,0.0,,0.0,5,6,25,4
1230,72,2214.0,2015-02-06,,2395.0,2214.0,3597.0,0.0,0.0,0.0,,0.0,47,6,14,4
1231,72,7154.0,2017-02-15,,252000.0,247234.0,0.0,0.0,0.0,0.0,,0.0,5,4,19,6
1232,72,2196.0,2016-02-19,,75622.0,65086.0,0.0,0.0,0.0,0.0,,0.0,5,4,19,6
1233,72,2246.0,2015-10-22,,75622.0,61777.0,0.0,0.0,0.0,0.0,,0.0,5,4,19,6
1234,72,4642.0,2013-02-07,,71051.0,70249.0,66900.0,0.0,0.0,0.0,,0.0,5,6,25,4
1235,72,5863.0,2015-06-15,,45773.0,35831.0,43100.0,0.0,0.0,0.0,,0.0,5,6,25,4
1236,72,1676.0,2015-03-05,,53900.0,39226.0,0.0,0.0,0.0,0.0,,0.0,5,4,19,6
1237,72,630.0,2016-05-07,,630.0,630.0,0.0,630.0,0.0,0.0,,0.0,39,7,16,4
1238,72,0.0,2014-03-26,2017-02-15,213700.0,0.0,0.0,0.0,0.0,0.0,,0.0,5,4,19,6
1239,72,0.0,2013-02-07,2016-02-19,52600.0,0.0,0.0,0.0,0.0,0.0,,0.0,5,4,19,6
1240,72,0.0,2013-02-07,2015-07-31,60862.0,0.0,66900.0,0.0,0.0,0.0,,0.0,5,6,25,4
1241,72,0.0,2013-02-07,2015-01-31,34877.0,0.0,44600.0,0.0,0.0,0.0,,0.0,5,6,25,4
1368,81,0.0,2015-11-07,,2329.0,0.0,1497.0,0.0,0.0,0.0,,0.0,16,6,14,4
1369,81,0.0,2016-09-06,,481.0,0.0,747.0,0.0,1.0,0.0,,0.0,16,6,14,4
1370,81,299.0,2017-08-08,,0.0,299.0,999.0,0.0,0.0,0.0,,0.0,16,6,14,4
1371,81,369.0,2017-09-18,,0.0,369.0,999.0,0.0,0.0,0.0,,0.0,16,6,14,4
1372,81,0.0,2017-08-28,,832.0,0.0,1000.0,0.0,0.0,0.0,,0.0,16,6,14,4
1373,81,0.0,2013-08-01,2016-03-31,35246.0,0.0,100000.0,0.0,0.0,0.0,,0.0,5,6,25,4
